Reading gatttool output from fitupchar.txt
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201002409000000000000000000000000000000   b'\x82\x01\x00\x24\x09\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 820100260a000000000000000000000000000000   b'\x82\x01\x00\x26\x0a\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 820100280a000000000000000000000000000000   b'\x82\x01\x00\x28\x0a\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 820100290a000000000000000000000000000000   b'\x82\x01\x00\x29\x0a\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201002b0b000000000000000000000000000000   b'\x82\x01\x00\x2b\x0b\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201002d0b000000000000000000000000000000   b'\x82\x01\x00\x2d\x0b\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201002e0b000000000000000000000000000000   b'\x82\x01\x00\x2e\x0b\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 820100300b000000000000000000000000000000   b'\x82\x01\x00\x30\x0b\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 820100320b000000000000000000000000000000   b'\x82\x01\x00\x32\x0b\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 820100330b000000000000000000000000000000   b'\x82\x01\x00\x33\x0b\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
